START_DATE*,END_DATE*,CATEGORY*,MILES*,PURPOSE*
3/10/2020 3:36,3/10/2020 3:53,Business,8.4,Meeting
3/10/2020 10:08,3/10/2020 10:37,Business,12.8,Meeting
3/10/2020 14:39,3/10/2020 14:55,Business,2.3,
3/10/2020 16:18,3/10/2020 16:28,Business,1.6,
3/11/2020 9:47,3/11/2020 9:59,Business,2,Meal/Entertain
3/11/2020 10:29,3/11/2020 10:36,Business,0.8,
3/11/2020 11:57,3/11/2020 12:04,Business,1.2,
3/11/2020 13:43,3/11/2020 13:51,Business,1,
3/11/2020 19:21,3/11/2020 19:35,Business,2.1,
3/12/2020 9:13,3/12/2020 9:22,Business,2.2,
3/12/2020 18:27,3/12/2020 18:37,Personal,1.9,
3/13/2020 9:07,3/13/2020 9:37,Business,5.7,Meal/Entertain
3/13/2020 18:23,3/13/2020 18:43,Business,8.4,Meal/Entertain
3/13/2020 20:07,3/13/2020 20:28,Business,6.2,Meal/Entertain
3/13/2020 20:39,3/13/2020 20:58,Business,10.5,Meal/Entertain
3/13/2020 21:11,3/13/2020 21:23,Business,7.2,Meal/Entertain
3/13/2020 22:19,3/13/2020 22:39,Business,12.5,
3/14/2020 8:34,3/14/2020 8:49,Business,2,Errand/Supplies
3/14/2020 18:39,3/14/2020 18:55,Business,2.7,
3/15/2020 8:45,3/15/2020 8:57,Business,2,Meal/Entertain
3/15/2020 20:48,3/15/2020 21:01,Business,2.8,Meal/Entertain
3/16/2020 11:34,3/16/2020 11:45,Business,1.7,Meal/Entertain
3/16/2020 14:44,3/16/2020 14:55,Business,2,
3/16/2020 18:43,3/16/2020 18:56,Business,2.1,Meal/Entertain
3/17/2020 0:33,3/17/2020 0:44,Personal,1.7,
3/17/2020 12:52,3/17/2020 15:11,Business,136,Customer Visit
3/17/2020 15:16,3/17/2020 15:58,Business,30.2,Meeting
3/17/2020 17:20,3/17/2020 18:02,Business,15.5,Meal/Entertain
3/17/2020 18:47,3/17/2020 19:09,Personal,4.9,
3/17/2020 20:57,3/17/2020 21:28,Personal,12.6,
3/17/2020 21:48,3/17/2020 22:04,Personal,10.4,
3/18/2020 7:15,3/18/2020 7:21,Business,1.1,Meal/Entertain
3/18/2020 8:35,3/18/2020 8:43,Business,1.1,Meal/Entertain
3/18/2020 18:24,3/18/2020 19:08,Business,13.2,Meeting
3/18/2020 19:23,3/18/2020 19:29,Business,1,Errand/Supplies
3/18/2020 21:01,3/18/2020 21:15,Business,9.2,Customer Visit
3/19/2020 9:10,3/19/2020 9:25,Business,9.4,Meal/Entertain
3/19/2020 12:50,3/19/2020 13:13,Business,12,Customer Visit
3/19/2020 14:01,3/19/2020 14:57,Business,35.1,Customer Visit
3/19/2020 15:34,3/19/2020 16:38,Business,36.5,Meal/Entertain
3/19/2020 17:17,3/19/2020 17:32,Business,3.1,Meal/Entertain
3/19/2020 17:37,3/19/2020 17:47,Business,2.1,Errand/Supplies
3/19/2020 17:52,3/19/2020 18:00,Business,1.2,
3/19/2020 18:53,3/19/2020 19:29,Business,7.5,Meeting
3/19/2020 19:33,3/19/2020 20:39,Business,57,Customer Visit
3/20/2020 7:37,3/20/2020 7:48,Business,5.9,Meeting
3/20/2020 11:42,3/20/2020 11:56,Business,6.2,Meeting
3/20/2020 17:08,3/20/2020 17:34,Business,10.4,
3/20/2020 18:34,3/20/2020 18:40,Personal,1.2,
3/20/2020 18:45,3/20/2020 19:06,Business,9.6,Customer Visit
3/21/2020 10:21,3/21/2020 10:26,Personal,1,
3/21/2020 16:05,3/21/2020 16:13,Business,0.9,Meal/Entertain
3/21/2020 18:59,3/21/2020 19:15,Business,8.8,
3/21/2020 20:18,3/21/2020 20:55,Business,25.6,Meal/Entertain
3/22/2020 6:17,3/22/2020 6:43,Business,23,Meal/Entertain
3/22/2020 12:06,3/22/2020 12:24,Personal,8.1,
3/22/2020 19:12,3/22/2020 19:25,Personal,1.4,
3/23/2020 14:37,3/23/2020 14:42,Personal,1.7,
3/23/2020 14:53,3/23/2020 14:59,Personal,1.6,
3/24/2020 19:47,3/24/2020 19:54,Personal,2,
3/24/2020 20:34,3/24/2020 20:40,Business,2.2,
3/25/2020 13:24,3/25/2020 16:22,Business,144,Customer Visit
3/25/2020 16:52,3/25/2020 22:22,Business,310.3,Customer Visit
3/25/2020 22:54,3/26/2020 1:39,Business,201,Meeting
3/26/2020 14:05,3/26/2020 14:29,Personal,6.7,
3/26/2020 15:19,3/26/2020 15:49,Personal,8.8,
3/26/2020 16:26,3/26/2020 16:30,Personal,1.2,
3/27/2020 0:31,3/27/2020 0:40,Business,2.1,Errand/Supplies
3/27/2020 1:11,3/27/2020 1:23,Business,6.6,Meal/Entertain
3/27/2020 15:31,3/27/2020 15:56,Business,6.1,Customer Visit
3/27/2020 21:26,3/27/2020 21:41,Personal,6.9,
3/27/2020 23:04,3/27/2020 23:18,Personal,7.3,
3/28/2020 12:29,3/28/2020 12:42,Personal,3.6,
3/28/2020 19:30,3/28/2020 20:23,Personal,27.2,
3/28/2020 22:55,3/28/2020 23:26,Personal,25.7,
3/29/2020 15:27,3/29/2020 16:11,Personal,13.6,
3/29/2020 18:20,3/29/2020 18:39,Personal,6.2,
3/29/2020 20:29,3/29/2020 20:44,Personal,6,
3/29/2020 23:04,3/29/2020 23:21,Personal,13.8,
3/30/2020 22:05,3/30/2020 22:55,Business,28.8,Meal/Entertain
3/31/2020 12:47,3/31/2020 13:22,Business,16.1,Temporary Site
3/31/2020 14:37,3/31/2020 15:09,Business,16.4,Meal/Entertain
4/1/2020 13:43,4/1/2020 14:01,Business,11,Meeting
4/1/2020 14:36,4/1/2020 15:24,Business,15.5,Customer Visit
4/1/2020 16:01,4/1/2020 16:49,Business,20.3,Meeting
4/1/2020 16:52,4/1/2020 16:57,Personal,0.7,
4/2/2020 8:48,4/2/2020 9:04,Personal,5.5,
4/2/2020 11:01,4/2/2020 11:16,Personal,5.1,
4/2/2020 12:21,4/2/2020 14:47,Business,77.3,Customer Visit
4/2/2020 16:57,4/2/2020 18:09,Business,80.5,Customer Visit
4/2/2020 19:38,4/2/2020 22:36,Business,174.2,Customer Visit
4/2/2020 23:11,4/3/2020 1:34,Business,144,Meeting
4/3/2020 2:00,4/3/2020 4:16,Business,159.3,Meeting
4/5/2020 21:39,4/5/2020 21:55,Business,7.9,Meal/Entertain
4/6/2020 0:19,4/6/2020 0:39,Business,8,Meal/Entertain
4/7/2020 18:20,4/7/2020 18:39,Business,6.1,Meal/Entertain
4/7/2020 19:45,4/7/2020 20:00,Business,6.1,Errand/Supplies
4/8/2020 12:30,4/8/2020 12:48,Business,10.5,Meeting
4/8/2020 13:34,4/8/2020 13:51,Business,8.7,Meal/Entertain
4/8/2020 13:55,4/8/2020 14:03,Business,1.8,Errand/Supplies
4/8/2020 14:43,4/8/2020 15:20,Business,19.1,Meeting
4/8/2020 16:05,4/8/2020 16:47,Business,18.6,Meeting
4/12/2020 9:15,4/12/2020 9:26,Business,2.8,Errand/Supplies
4/12/2020 9:34,4/12/2020 9:53,Business,8.9,Meeting
4/12/2020 10:58,4/12/2020 11:18,Business,7.5,Customer Visit
4/12/2020 12:22,4/12/2020 12:44,Business,15.9,Meeting
4/12/2020 13:42,4/12/2020 14:01,Business,6.5,Meal/Entertain
4/14/2020 7:29,4/14/2020 8:09,Business,15.3,Temporary Site
4/14/2020 16:00,4/14/2020 16:43,Business,13.7,Temporary Site
4/15/2020 11:36,4/15/2020 12:07,Business,11.9,Temporary Site
4/15/2020 12:29,4/15/2020 12:32,Business,1.4,Errand/Supplies
4/15/2020 14:31,4/15/2020 15:01,Business,15.2,Meeting
4/16/2020 12:59,4/16/2020 13:17,Business,6,Errand/Supplies
4/16/2020 15:10,4/16/2020 15:26,Business,6.1,Meal/Entertain
4/19/2020 17:44,4/19/2020 18:08,Business,8.2,Meal/Entertain
4/19/2020 19:57,4/19/2020 20:19,Business,8,Meal/Entertain
4/22/2020 8:25,4/22/2020 9:04,Business,13.6,Meeting
4/22/2020 10:10,4/22/2020 10:40,Business,22.5,Meeting
4/22/2020 12:08,4/22/2020 12:28,Business,10.4,Meeting
4/22/2020 13:02,4/22/2020 13:26,Business,10,Meeting
4/23/2020 17:03,4/23/2020 17:16,Business,6,Meal/Entertain
4/23/2020 18:49,4/23/2020 19:05,Business,6.5,Meal/Entertain
4/24/2020 19:07,4/24/2020 19:16,Business,3.1,Errand/Supplies
4/24/2020 19:46,4/24/2020 19:52,Business,1.9,Errand/Supplies
4/24/2020 21:41,4/24/2020 21:50,Business,4.2,Between Offices
4/27/2020 13:30,4/27/2020 13:40,Business,4.9,Between Offices
4/27/2020 14:13,4/27/2020 14:25,Business,4.8,Between Offices
4/28/2020 12:09,4/28/2020 12:34,Business,12.4,Customer Visit
4/28/2020 13:30,4/28/2020 13:49,Business,32.8,Customer Visit
4/28/2020 22:10,4/28/2020 22:28,Business,5.5,Customer Visit
4/29/2020 11:44,4/29/2020 12:01,Business,9.9,Meeting
4/29/2020 13:13,4/29/2020 13:34,Business,10,Meeting
4/29/2020 18:46,4/29/2020 19:18,Business,14.2,Customer Visit
4/29/2020 22:44,4/29/2020 23:19,Business,18.2,Meeting
4/30/2020 18:42,4/30/2020 18:57,Business,7.7,Meal/Entertain
4/30/2020 22:16,4/30/2020 22:34,Business,6.8,
5/1/2020 13:45,5/1/2020 13:53,Business,2.1,Meal/Entertain
5/1/2020 14:26,5/1/2020 14:31,Business,2.3,
5/1/2020 17:33,5/1/2020 17:45,Business,6.2,Between Offices
5/1/2020 17:54,5/1/2020 18:10,Business,7.5,Meeting
5/1/2020 22:38,5/1/2020 22:49,Business,3.1,Errand/Supplies
5/2/2020 14:14,5/2/2020 14:21,Business,2.2,Errand/Supplies
5/2/2020 15:37,5/2/2020 15:48,Business,3.9,Meal/Entertain
5/3/2020 22:20,5/3/2020 22:28,Business,2.5,Meal/Entertain
5/4/2020 15:16,5/4/2020 15:37,Business,8.7,Meal/Entertain
5/4/2020 20:55,5/4/2020 21:14,Business,14.5,Errand/Supplies
5/4/2020 21:30,5/4/2020 21:36,Business,4.5,Meal/Entertain
5/4/2020 22:19,5/4/2020 22:27,Business,5,Meal/Entertain
5/5/2020 21:24,5/5/2020 21:36,Business,14.2,Meal/Entertain
5/5/2020 22:34,5/5/2020 22:40,Business,2.9,Errand/Supplies
5/5/2020 23:55,5/6/2020 0:08,Business,12.9,Meeting
5/6/2020 5:47,5/6/2020 6:02,Business,14.4,Meeting
5/6/2020 16:45,5/6/2020 16:59,Business,17,Meeting
5/6/2020 17:18,5/6/2020 17:44,Business,7.9,Customer Visit
5/9/2020 6:08,5/9/2020 6:25,Business,8.4,Customer Visit
5/9/2020 14:39,5/9/2020 15:06,Business,20.5,Between Offices
5/9/2020 17:58,5/9/2020 18:26,Business,9.8,Customer Visit
5/9/2020 19:35,5/9/2020 19:59,Business,17.6,Customer Visit
5/10/2020 9:03,5/10/2020 9:20,Business,9.3,Customer Visit
5/10/2020 17:19,5/10/2020 17:31,Business,7.9,Customer Visit
5/11/2020 8:35,5/11/2020 9:12,Business,25.6,Meeting
5/11/2020 21:47,5/11/2020 22:04,Business,8.1,Meeting
5/14/2020 18:35,5/14/2020 18:39,Business,3.1,Meal/Entertain
5/14/2020 23:01,5/14/2020 23:05,Business,3.1,Meal/Entertain
5/17/2020 13:15,5/17/2020 13:23,Business,2.8,Errand/Supplies
5/17/2020 13:56,5/17/2020 14:08,Business,2.7,Errand/Supplies
5/17/2020 14:34,5/17/2020 14:40,Business,1.9,Errand/Supplies
5/18/2020 9:11,5/18/2020 9:41,Business,8.4,Customer Visit
5/18/2020 13:00,5/18/2020 13:02,Business,7.6,Customer Visit
5/19/2020 14:37,5/19/2020 15:01,Business,2.9,Meal/Entertain
5/20/2020 10:56,5/20/2020 11:07,Business,11.2,Meeting
5/20/2020 15:43,5/20/2020 16:12,Business,8.2,Meal/Entertain
5/22/2020 15:39,5/22/2020 15:46,Business,3,Meal/Entertain
5/22/2020 18:46,5/22/2020 18:53,Business,2.5,Meal/Entertain
5/23/2020 20:19,5/23/2020 20:27,Business,3.6,Meal/Entertain
5/23/2020 21:09,5/23/2020 21:21,Business,3.6,Errand/Supplies
5/27/2020 20:26,5/27/2020 20:30,Business,4.5,Errand/Supplies
5/27/2020 20:47,5/27/2020 20:53,Business,1.2,
5/27/2020 22:11,5/27/2020 22:14,Business,1.7,Errand/Supplies
5/28/2020 0:15,5/28/2020 0:21,Business,4.7,Errand/Supplies
5/28/2020 12:52,5/28/2020 13:06,Business,6.1,Meal/Entertain
5/28/2020 14:35,5/28/2020 15:04,Business,11.3,Customer Visit
5/31/2020 13:54,5/31/2020 14:41,Business,14.9,Meeting
5/31/2020 16:02,5/31/2020 16:39,Business,14,Meeting
5/31/2020 17:50,5/31/2020 17:59,Business,1.8,
6/1/2020 10:19,6/1/2020 10:47,Business,6.7,Customer Visit
6/1/2020 13:10,6/1/2020 13:39,Business,9.6,Meeting
6/3/2020 11:29,6/3/2020 11:49,Business,10.4,Meeting
6/3/2020 13:08,6/3/2020 13:38,Business,9.9,Meeting
6/3/2020 15:31,6/3/2020 15:54,Business,6,Meal/Entertain
6/3/2020 18:14,6/3/2020 18:29,Business,3.3,Errand/Supplies
6/3/2020 18:41,6/3/2020 18:53,Business,3.1,Errand/Supplies
